                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2351,                 3.3302,                 3.8375,                0.06669,                0.07375,                0.01894,                0.00487,                 2.9285,                 3.2458,                 3.6459,             0.00066219,             0.00066219,             0.00066219
                      2,                 2.6763,                 2.7142,                 2.9777,                0.25478,                0.25988,                0.17557,                0.05448,                 2.5333,                  2.467,                 2.8696,              0.0012975,              0.0012975,              0.0012975
                      3,                 2.2844,                 2.3167,                 2.6018,                0.28374,                0.31114,                0.20803,                0.07212,                 2.2382,                 3.0364,                 2.5973,              0.0019015,              0.0019015,              0.0019015
                      4,                  2.087,                 2.0979,                 2.3751,                 0.4432,                0.37494,                0.35639,                0.13631,                 2.0759,                 2.2832,                 2.3319,              0.0018586,              0.0018586,              0.0018586
                      5,                 1.9826,                 1.9272,                 2.2252,                0.54497,                0.43758,                0.45583,                0.19668,                 1.9556,                 1.8189,                 2.2248,              0.0018114,              0.0018114,              0.0018114
                      6,                  1.899,                 1.8257,                 2.1255,                0.62233,                0.49756,                0.53548,                0.25255,                 1.8113,                 1.6472,                 2.0428,              0.0017643,              0.0017643,              0.0017643
                      7,                 1.8248,                 1.7144,                 2.0542,                 0.6645,                0.49756,                 0.5551,                 0.2601,                 1.7812,                 1.5968,                 2.0025,              0.0017171,              0.0017171,              0.0017171
                      8,                 1.7583,                 1.6389,                 2.0042,                 0.6322,                0.52243,                0.57079,                0.26913,                 1.8046,                 1.5825,                 2.0543,                0.00167,                0.00167,                0.00167
                      9,                 1.7261,                 1.5918,                  1.973,                0.68482,                0.57441,                0.63388,                 0.3226,                 1.6839,                 1.3846,                 1.9027,              0.0016229,              0.0016229,              0.0016229
                     10,                 1.6776,                 1.5128,                 1.9142,                0.67773,                0.55494,                0.60931,                0.29533,                 1.7411,                  1.448,                 1.9506,              0.0015757,              0.0015757,              0.0015757
                     11,                 1.6474,                  1.491,                 1.9112,                0.69997,                0.59085,                0.64627,                0.30873,                 1.6823,                 1.4538,                 1.9107,              0.0015286,              0.0015286,              0.0015286
                     12,                 1.6235,                 1.4341,                 1.8698,                0.71194,                0.59218,                 0.6559,                0.33071,                 1.6136,                 1.3911,                 1.8384,              0.0014814,              0.0014814,              0.0014814
                     13,                 1.5833,                 1.4031,                 1.8244,                0.73117,                0.60195,                0.66493,                0.35702,                 1.5833,                   1.32,                 1.8108,              0.0014343,              0.0014343,              0.0014343
                     14,                  1.582,                 1.4084,                 1.8168,                0.69897,                0.58685,                0.63545,                0.34025,                 1.6269,                 1.3846,                 1.8482,              0.0013871,              0.0013871,              0.0013871
                     15,                  1.549,                 1.3701,                 1.8008,                0.74212,                0.60599,                0.68637,                0.37338,                 1.5348,                 1.2795,                 1.7654,                0.00134,                0.00134,                0.00134
                     16,                 1.5413,                 1.3409,                 1.7852,                0.72445,                0.63039,                0.68186,                0.35555,                 1.5976,                 1.3371,                 1.8182,              0.0012929,              0.0012929,              0.0012929
                     17,                 1.5136,                   1.31,                 1.7654,                0.73419,                0.66326,                0.71689,                 0.3907,                 1.5387,                 1.2018,                 1.7612,              0.0012457,              0.0012457,              0.0012457
                     18,                 1.4769,                 1.2564,                 1.7316,                0.75923,                 0.6444,                0.71026,                0.38426,                 1.5264,                 1.2297,                 1.7403,              0.0011986,              0.0011986,              0.0011986
                     19,                 1.4716,                 1.2733,                 1.7401,                0.75516,                0.64125,                0.70593,                0.39603,                 1.5087,                 1.2204,                 1.7283,              0.0011514,              0.0011514,              0.0011514
                     20,                 1.4569,                 1.2289,                 1.7046,                0.73199,                0.65882,                 0.7089,                0.38714,                 1.5562,                  1.214,                 1.7602,              0.0011043,              0.0011043,              0.0011043
                     21,                 1.4533,                 1.2162,                 1.6842,                0.80789,                0.67081,                0.74277,                 0.4277,                  1.451,                 1.1005,                 1.6797,              0.0010571,              0.0010571,              0.0010571
                     22,                  1.409,                 1.1796,                 1.6845,                  0.778,                0.67413,                 0.7427,                0.43738,                 1.3921,                 1.0837,                  1.655,                0.00101,                0.00101,                0.00101
                     23,                 1.4128,                 1.1762,                 1.6601,                0.78754,                0.67349,                0.75162,                0.44606,                 1.4213,                 1.0519,                  1.666,             0.00096286,             0.00096286,             0.00096286
                     24,                 1.4217,                 1.1756,                 1.6665,                0.81939,                0.67659,                0.76144,                0.45359,                 1.3956,                 1.0564,                 1.6422,             0.00091571,             0.00091571,             0.00091571
                     25,                 1.3805,                 1.1305,                 1.6347,                0.81703,                0.67842,                0.76154,                0.44949,                 1.4167,                 1.0584,                 1.6497,             0.00086857,             0.00086857,             0.00086857
                     26,                 1.3685,                  1.131,                 1.6445,                0.80932,                0.68103,                0.76181,                0.44785,                 1.3835,                 1.0216,                 1.6143,             0.00082143,             0.00082143,             0.00082143
                     27,                 1.3802,                 1.1106,                 1.6144,                0.80036,                0.68391,                0.76129,                0.46412,                 1.3691,                0.96984,                 1.6068,             0.00077429,             0.00077429,             0.00077429
                     28,                  1.359,                 1.0967,                 1.6095,                0.78072,                0.68059,                0.75311,                0.45961,                 1.3627,                0.99786,                 1.5996,             0.00072714,             0.00072714,             0.00072714
                     29,                  1.351,                 1.0961,                 1.6084,                0.76118,                0.66326,                0.73145,                0.44955,                 1.3685,                  1.036,                 1.5952,                0.00068,                0.00068,                0.00068
                     30,                 1.3297,                 1.0797,                 1.5941,                0.80968,                0.68605,                0.76458,                0.46858,                 1.3537,                0.97415,                 1.5835,             0.00063286,             0.00063286,             0.00063286
                     31,                    1.3,                 1.0548,                 1.5816,                0.81604,                0.68281,                0.76154,                0.46199,                  1.372,                 1.0126,                   1.62,             0.00058571,             0.00058571,             0.00058571
                     32,                  1.305,                 1.0504,                 1.5692,                0.80516,                0.69836,                0.78116,                0.48151,                 1.3219,                0.95633,                 1.5593,             0.00053857,             0.00053857,             0.00053857
                     33,                 1.2824,                0.97304,                 1.5612,                0.80631,                0.70591,                0.78061,                0.48534,                 1.3328,                0.94858,                 1.5684,             0.00049143,             0.00049143,             0.00049143
                     34,                 1.2499,                0.93089,                 1.5352,                0.81648,                0.69375,                0.77537,                0.47707,                 1.3532,                0.95324,                 1.5748,             0.00044429,             0.00044429,             0.00044429
                     35,                 1.2451,                0.91994,                 1.5225,                0.79896,                0.70902,                0.77678,                0.48268,                 1.3315,                0.93172,                 1.5535,             0.00039714,             0.00039714,             0.00039714
                     36,                 1.2182,                 0.8967,                 1.5092,                0.82996,                0.70469,                0.79246,                0.49499,                 1.2922,                0.91404,                 1.5306,                0.00035,                0.00035,                0.00035
                     37,                  1.205,                0.88499,                 1.4962,                0.81899,                 0.7068,                0.78616,                0.49447,                  1.295,                0.90766,                 1.5282,             0.00030286,             0.00030286,             0.00030286
                     38,                 1.1938,                0.87476,                 1.4824,                 0.8158,                0.72209,                0.79436,                0.50004,                 1.2899,                0.89999,                 1.5307,             0.00025571,             0.00025571,             0.00025571
                     39,                 1.1773,                0.85512,                 1.4671,                0.80499,                0.71924,                0.78933,                 0.5028,                 1.2711,                 0.8925,                 1.5112,             0.00020857,             0.00020857,             0.00020857
                     40,                 1.1625,                0.84076,                 1.4554,                0.81284,                0.71194,                0.79173,                0.50315,                 1.2747,                0.88137,                 1.5064,             0.00016143,             0.00016143,             0.00016143
                     41,                 1.1652,                0.82976,                 1.4531,                0.82858,                0.71506,                0.79592,                0.50661,                 1.2704,                0.87551,                 1.5074,             0.00011429,             0.00011429,             0.00011429
                     42,                 1.1431,                0.81863,                 1.4361,                0.82994,                0.71979,                 0.7993,                0.50754,                 1.2679,                0.86465,                 1.5026,             6.7143e-05,             6.7143e-05,             6.7143e-05
